age,employment_type,years_employed,annual_income,monthly_debt,loan_amount_requested,loan_purpose,credit_score,missed_payments,savings,dti_ratio,loan_to_income,defaulted
31,Salaried,5,2420485.38,123571.83,2733405.08,Vehicle,670,3,409493.93,61.263,1.12928,1
35,Business Owner,3,3359808.61,148633.36,14792956.18,Business,721,0,158654.37,53.0864,4.402916,1
32,Salaried,13,2140356.95,39889.48,9717034.69,Home,816,0,151830.74,22.3642,4.539913,0
29,Business Owner,7,884269.71,23396.55,3754142.77,Home,758,2,272224.27,31.7503,4.245473,1
41,Business Owner,9,1702921.62,71848.11,2474171.58,Personal,662,2,795993.19,50.6293,1.452898,0
30,Salaried,11,1658406.08,54119.87,5467141.65,Home,816,0,88759.1,39.1604,3.296624,1
33,Salaried,6,1569664.51,54690.74,1368525.22,Vehicle,807,1,303232.86,41.8108,0.871858,0
29,Salaried,8,1799298.85,22657.84,2063034.27,Vehicle,727,0,106660.09,15.1111,1.146577,0
36,Salaried,8,969178.32,45769.66,426335.89,Personal,701,0,209473.85,56.6703,0.439894,1
21,Salaried,3,1364674.37,83234.59,4348986.99,Home,848,2,275560.13,73.1907,3.186831,1
35,Salaried,11,310348.67,8627.48,1192992.97,Business,643,0,295391.79,33.3592,3.844041,0
30,Salaried,4,2408605.82,10439.8,1706550.98,Personal,644,0,88241.25,5.2012,0.708522,0
21,Business Owner,1,3086237.66,45009.6,11626912.89,Home,683,0,97784.14,17.5008,3.767342,1
29,Salaried,3,1128720.05,52465.05,6455741.51,Home,665,3,480063.14,55.7783,5.719524,1
45,Business Owner,7,666350.14,29450.06,1176435.66,Vehicle,871,1,122839.32,53.0353,1.765492,0
32,Salaried,13,1494841.84,38986.44,1487816.16,Vehicle,807,2,180457.18,31.2968,0.9953,0
27,Salaried,9,1887286.28,74215.78,1478450.71,Personal,581,1,289048.1,47.1889,0.783374,0
29,Salaried,11,4912421.93,237070.42,19161124.65,Home,643,1,265612.21,57.9113,3.900545,0
45,Business Owner,2,2056048.18,95126.84,2340580.45,Personal,641,3,175249.52,55.5202,1.138388,0
27,Salaried,4,1086161.97,37999.19,2715457.63,Business,604,1,664420.33,41.9818,2.500049,1
24,Salaried,4,2457046.53,168516.34,3946641.22,Education,754,0,1341131.75,82.3019,1.606254,1
26,Salaried,6,1318325.8,32727.05,2102541.35,Business,810,2,149064.58,29.7896,1.594857,0
22,Business Owner,4,2667295.1,37601.29,5125569.05,Vehicle,697,2,1033682.29,16.9166,1.921636,0
38,Freelancer,7,1043237.64,9076.06,2061194.01,Vehicle,508,0,187296.99,10.4399,1.975767,0
41,Salaried,4,3099806.88,97369.97,10488522.58,Business,681,3,536422.8,37.6939,3.383605,0
34,Salaried,8,2249012.47,99662.68,3799480.09,Vehicle,753,1,142114.84,53.1768,1.689399,0
24,Self-Employed,2,1137147.88,18749.5,1828428.01,Vehicle,579,0,513329.85,19.7858,1.607907,0
37,Salaried,5,1817901.17,71876.66,2261775.48,Personal,683,1,303726.32,47.4459,1.244169,0
42,Self-Employed,15,2417209.27,74285.66,4135376.28,Business,653,0,125974.48,36.8784,1.710806,0
31,Self-Employed,7,2834712.59,38330.03,3732873.05,Vehicle,760,3,93735.63,16.226,1.316844,0
31,Self-Employed,13,1294456.27,36729.85,1956502.76,Vehicle,685,0,2052870.21,34.0497,1.511448,0
26,Salaried,8,1831142.47,62031.14,1707223.0,Vehicle,673,1,245132.91,40.6508,0.932327,0
40,Salaried,2,2033405.74,61078.82,3846205.55,Vehicle,686,0,175408.99,36.0452,1.891509,0
29,Freelancer,0,2743516.67,129913.63,2914606.04,Personal,710,3,62171.8,56.8235,1.062361,1
41,Business Owner,4,5456665.01,111373.64,9922766.05,Education,762,0,87950.43,24.4927,1.818467,0
36,Freelancer,4,1462156.49,25883.39,4531585.96,Business,782,1,710378.13,21.2426,3.099248,0
23,Business Owner,1,1244593.38,73691.43,1556515.55,Personal,764,0,170480.58,71.0511,1.250622,0
40,Business Owner,5,1035348.26,39891.79,2128866.31,Education,804,4,246499.41,46.2358,2.056184,0
34,Salaried,6,1804471.51,52688.31,2264479.69,Personal,607,0,653203.34,35.0385,1.254927,0
22,Self-Employed,3,1268315.07,23069.36,3112249.51,Business,679,2,256016.73,21.8268,2.453846,0
34,Self-Employed,10,802073.77,3690.0,531389.24,Vehicle,874,1,725405.81,5.5207,0.662519,0
35,Freelancer,4,855049.34,20531.5,1217144.19,Vehicle,666,0,133417.44,28.8145,1.423478,0
21,Salaried,3,828513.49,17926.36,1142996.19,Vehicle,716,3,715332.47,25.9641,1.379575,0
55,Salaried,15,2103343.79,91885.1,6101055.75,Education,811,0,768701.9,52.4223,2.900646,0
35,Salaried,8,1358670.22,71921.11,1896822.9,Vehicle,610,1,422616.68,63.5219,1.396088,0
21,Business Owner,2,1112270.11,31368.74,5261535.52,Business,718,2,703974.21,33.8429,4.730448,1
25,Salaried,6,619078.14,6828.17,1911491.74,Education,752,1,138924.02,13.2355,3.087642,0
27,Self-Employed,9,2245303.63,46223.66,12303030.85,Home,732,3,136780.01,24.7042,5.479451,1
